"","region","saleYear","volume","volCS","volShare","volGrowth","medPrice","priceGrowth"
"279","federal way",2001,1236,30855,0.0400583373845406,-0.0891691741631718,182000,0.0520231213872835
"280","federal way",2002,1405,33613,0.0417993038407759,0.0434607767048061,193000,0.0604395604395607
"281","federal way",2003,1534,39941,0.0384066498084675,-0.0811653238348629,204950,0.0619170984455966
"282","federal way",2004,1670,43322,0.038548543465214,0.0036945075254966,229500,0.119785313491096
"283","federal way",2005,1960,45181,0.0433810672627875,0.125362033508071,270000,0.176470588235292
"284","federal way",2006,1604,39609,0.0404958469034815,-0.0665087454356128,302880,0.121777777777778
"285","federal way",2007,1126,31419,0.0358381870842484,-0.115015740511226,316337.5,0.0444317881669309
"286","federal way",2008,686,20255,0.0338681806961244,-0.0549694766505036,291500,-0.0785158256608838
"287","federal way",2009,636,19232,0.0330698835274542,-0.0235707130487092,240000,-0.176672384219554
"288","federal way",2010,651,20732,0.03140073316612,-0.0504734272785847,245000,0.0208333333333321
"289","federal way",2011,734,21948,0.0334426827045744,0.06502872170697,205000,-0.163265306122448
"290","federal way",2012,975,28077,0.0347259322577198,0.0383716092539985,195000,-0.0487804878048783
"291","federal way",2013,1192,33382,0.0357078665148883,0.0282766852702747,227916,0.168800000000001
"292","federal way",2014,1163,31845,0.0365206468833412,0.0227619414930329,246000,0.0793450218501555
"293","federal way",2015,1281,34417,0.0372199784989976,0.0191489383495946,277500,0.128048780487804
"294","federal way",2016,1374,33824,0.0406220435193945,0.0914042715121002,305000,0.0990990990990996
"295","hunts point",1996,5,27516,0.000181712458206135,-0.674119673029398,1130000,1.4366576819407
"296","hunts point",1997,15,31821,0.000471386820024512,1.59413594795889,970000,-0.141592920353981
"297","hunts point",1998,11,34021,0.000323329708121454,-0.314088357191147,2450000,1.52577319587629
"298","hunts point",1999,14,33331,0.000420029402058144,0.299074571583647,959722,-0.608276734693878
"299","hunts point",2000,12,31196,0.000384664700602641,-0.0841957760152398,1504500,0.567641462840279
"300","hunts point",2001,14,30855,0.000453735213093502,0.179560308972074,952500,-0.366899302093718
"301","hunts point",2002,8,33613,0.000238003153541784,-0.47545804981916,608500,-0.361154855643045
"302","hunts point",2003,13,39941,0.000325480083122606,0.367545254250018,1e+06,0.643385373870173
